param,name,Restricted Flexibility - No Learning (million $),Flexible (million $),Change in cost (%),Restricted Flexibility - Full Learning (million $),Flexible & Learning (million $),Change in cost (%)
Koala Landscape Capacity Index Threshold,0.125,125.5,104.1,-17,115.8,90,-22.5
Koala Landscape Capacity Index Threshold,0.15,138.6,109.6,-20.9,127,92.2,-27.1
Koala Landscape Capacity Index Threshold,0.175,155.7,118.5,-23.9,146.1,96.1,-34.4
Koala Landscape Capacity Index Threshold,0.2,166.2,124.1,-25.3,154.7,96.6,-37.8
Koala Landscape Capacity Index Threshold,0.225,176.1,128,-27.3,163.1,96.9,-40.9
Koala Landscape Capacity Index Threshold,0.25,221.4,150.9,-31.8,201.2,109.2,-46.1
Koala Landscape Capacity Index Threshold,0.275,200.3,135.6,-32.3,185.5,99.3,-46.3
Discount rate (%),0.005,533.8,393.8,-26.2,506.7,259.4,-49
Discount rate (%),0.01,533.8,393.8,-26.2,506.7,259.4,-49
Discount rate (%),0.015,533.8,393.8,-26.2,506.7,259.4,-49
Discount rate (%),0.02,221.4,150.9,-31.8,201.2,109.2,-46.1
Discount rate (%),0.025,127.9,81.2,-36.6,113.3,64.1,-43.9
Discount rate (%),0.03,127.9,81.2,-36.6,113.3,64.1,-43.9
Discount rate (%),0.035,86,51.9,-39.6,75.5,44.1,-42
Discount rate (%),0.04,86,51.9,-39.6,75.5,44.1,-42
Discount rate (%),0.045,86,51.9,-39.6,75.5,44.1,-42
Discount rate (%),0.05,63,37.1,-41.2,54.9,33.3,-39.6
Discount rate (%),Green Book DDR,156.1,104.8,-32.9,156.1,73.8,-52.7
Random population sample index,1,221.4,150.9,-31.8,201.2,109.2,-46.1
Random population sample index,2,189.2,139.1,-26.5,173.3,98.3,-43.5
Random population sample index,3,176.3,134.8,-23.5,165.7,96.8,-42.2
Random population sample index,4,177.9,136.5,-23.3,166.2,101.4,-39.7
Random population sample index,5,194,135.9,-29.9,178.8,102.9,-42.5
Random population sample index,6,182.2,132.5,-27.2,164.4,102.2,-38.5
Random population sample index,7,198.5,133.6,-32.7,182.5,101.9,-44.2
Random population sample index,8,186.7,134.3,-28.1,173.4,97.4,-44.1
Random population sample index,9,183.4,140.1,-23.6,169.5,109.9,-35.3
Random population sample index,10,198.4,137.1,-30.9,181.4,103,-42.9
Second-stage budget ($),0.0,194.8,132.3,-32.1,194.8,97.1,-50.2
Second-stage budget ($),1.0e7,221.4,150.9,-31.8,201.2,109.2,-46.1
Second-stage budget ($),1.5e7,179.5,132.3,-26.3,162.6,97.1,-40.2
Second-stage budget ($),2.0e7,174.4,132.3,-24.2,155.6,97.1,-37.5
Second-stage budget ($),2.5e7,169.3,132.3,-21.9,148.8,97.1,-34.6
Second-stage budget ($),3.0e7,164.3,132.3,-19.5,143.2,97.1,-31.9
Second-stage budget ($),3.5e7,159.4,132.3,-17,139.2,97.1,-29.9
Second-stage budget ($),4.0e7,155.1,132.3,-14.7,135.5,97.1,-27.9
Year of the start of the second stage,2030,226.8,183.7,-19,211,119,-42.6
Year of the start of the second stage,2040,209.9,166.3,-20.8,195.3,109.8,-42.8
Year of the start of the second stage,2050,196,148.4,-24.3,182.7,103.1,-43.2
Year of the start of the second stage,2060,221.4,150.9,-31.8,201.2,109.2,-46.1
